fungicide;strain;experiment;dose;plate;colony_diameter
Bellis;S8;1;0,01;3;29
Bellis;S23;2;0;1;52,8
Bellis;S23;2;0;2;54,9
Bellis;S23;2;0;3;56
Bellis;S20;2;0;1;51,9
Bellis;S20;2;0;2;53,2
Bellis;S20;2;0;3;51,7
Bellis;S8;2;0;1;49,8
Bellis;S8;2;0;2;49,9
Bellis;S8;2;0;3;52
Bellis;S23;2;100;1;0
Bellis;S23;2;100;2;0
Bellis;S23;2;100;3;0
Bellis;S20;2;100;1;0
Bellis;S20;2;100;2;0
Bellis;S20;2;100;3;0
Bellis;S8;2;100;1;0
Bellis;S8;2;100;2;0
Bellis;S8;2;100;3;0
Bellis;S23;2;50;1;0
Bellis;S23;2;50;2;0
Bellis;S23;2;50;3;0
Bellis;S20;2;50;1;0
Bellis;S20;2;50;2;0
Bellis;S20;2;50;3;0
Bellis;S8;2;50;1;0
Bellis;S8;2;50;2;0
Bellis;S8;2;50;3;0
Bellis;S23;2;10;1;0
Bellis;S23;2;10;2;0
Bellis;S23;2;10;3;0
Bellis;S20;2;10;1;0
Bellis;S20;2;10;2;0
Bellis;S20;2;10;3;0
Bellis;S8;2;10;1;0
Bellis;S8;2;10;2;0
Bellis;S8;2;10;3;0
Bellis;S23;2;1;1;4,9
Bellis;S23;2;1;2;5,2
Bellis;S23;2;1;3;4,7
Bellis;S20;2;1;1;5,8
Bellis;S20;2;1;2;4,9
Bellis;S20;2;1;3;5
Bellis;S8;2;1;1;7,9
Bellis;S8;2;1;2;7,2
Bellis;S8;2;1;3;6,7
Bellis;S23;2;0,1;1;18,3
Bellis;S23;2;0,1;2;19,4
Bellis;S23;2;0,1;3;19,5
Bellis;S20;2;0,1;1;18,9
Bellis;S20;2;0,1;2;19,7
Bellis;S20;2;0,1;3;19,2
Bellis;S8;2;0,1;1;18
Bellis;S8;2;0,1;2;17
Bellis;S8;2;0,1;3;16
Bellis;S23;2;0,01;1;35,9
Bellis;S23;2;0,01;2;36,2
Bellis;S23;2;0,01;3;35,2
Bellis;S20;2;0,01;1;33
Bellis;S20;2;0,01;2;32
Bellis;S20;2;0,01;3;31
Bellis;S8;2;0,01;1;32
Bellis;S8;2;0,01;2;30
Bellis;S8;2;0,01;3;33
Bellis;S23;3;0;1;53
Bellis;S20;3;0;1;50
Bellis;S8;3;0;1;43
Bellis;S23;3;0,01;1;36
Bellis;S20;3;0,01;1;33
Bellis;S8;3;0,01;1;32
Bellis;S23;3;0,1;1;18,5
Bellis;S20;3;0,1;1;17
Bellis;S8;3;0,1;1;15
Bellis;S23;3;1;1;5
Bellis;S20;3;1;1;6
Bellis;S8;3;1;1;7
Bellis;S23;3;10;1;0
Bellis;S20;3;10;1;0
Bellis;S8;3;10;1;0
Bellis;S23;3;50;1;0
Bellis;S20;3;50;1;0
Bellis;S8;3;50;1;0
Bellis;S23;3;100;1;0
Bellis;S20;3;100;1;0
Bellis;S8;3;100;1;0
Bellis;S23;3;0;2;55
Bellis;S20;3;0;2;49
Bellis;S8;3;0;2;44
Bellis;S23;3;0,01;2;36
Bellis;S20;3;0,01;2;31
Bellis;S8;3;0,01;2;23
Bellis;S23;3;0,1;2;19,5
Bellis;S20;3;0,1;2;19,5
Bellis;S8;3;0,1;2;18
Bellis;S23;3;1;2;5
Bellis;S20;3;1;2;5
Bellis;S8;3;1;2;7
Bellis;S23;3;10;2;0
Bellis;S20;3;10;2;0
Bellis;S8;3;10;2;0
Bellis;S23;3;50;2;0
Bellis;S20;3;50;2;0
Bellis;S8;3;50;2;0
Bellis;S23;3;100;2;0
Bellis;S20;3;100;2;0
Bellis;S8;3;100;2;0
Bellis;S23;3;0;3;56
Bellis;S20;3;0;3;48
Bellis;S8;3;0;3;45
Bellis;S23;3;0,01;3;35,5
Bellis;S20;3;0,01;3;33
Bellis;S8;3;0,01;3;32
Bellis;S23;3;0,1;3;19,5
Bellis;S20;3;0,1;3;19,5
Bellis;S8;3;0,1;3;18
Bellis;S23;3;1;3;5
Bellis;S20;3;1;3;5
Bellis;S8;3;1;3;7
Bellis;S23;3;10;3;0
Bellis;S20;3;10;3;0
Bellis;S8;3;10;3;0
Bellis;S23;3;50;3;0
Bellis;S20;3;50;3;0
Bellis;S8;3;50;3;0
Bellis;S23;3;100;3;0
Bellis;S20;3;100;3;0
Bellis;S8;3;100;3;0
Ziram;S23;1;0;1;53
Ziram;S23;1;0;2;55
Ziram;S23;1;0;3;56
Ziram;S20;1;0;1;52
Ziram;S20;1;0;2;53
Ziram;S20;1;0;3;52
Ziram;S8;1;0;1;50
Ziram;S8;1;0;2;50
Ziram;S8;1;0;3;52
Ziram;S23;1;100;1;15
Ziram;S23;1;100;2;15
Ziram;S23;1;100;3;14
Ziram;S20;1;100;1;15
Ziram;S20;1;100;2;15
Ziram;S20;1;100;3;15,5
Ziram;S8;1;100;1;15
Ziram;S8;1;100;2;17
Ziram;S8;1;100;3;15
Ziram;S23;1;50;1;20
Ziram;S23;1;50;2;30
Ziram;S23;1;50;3;20
Ziram;S20;1;50;1;20,5
Ziram;S20;1;50;2;21
Ziram;S20;1;50;3;20,5
Ziram;S8;1;50;1;19
Ziram;S8;1;50;2;19
Ziram;S8;1;50;3;19
Ziram;S23;1;10;1;20,5
Ziram;S23;1;10;2;21
Ziram;S23;1;10;3;23
Ziram;S20;1;10;1;22
Ziram;S20;1;10;2;22
Ziram;S20;1;10;3;22
Ziram;S8;1;10;1;19
Ziram;S8;1;10;2;20
Ziram;S8;1;10;3;21,5
Ziram;S23;1;1;1;38
Ziram;S23;1;1;2;37
Ziram;S23;1;1;3;37
Ziram;S20;1;1;1;38
Ziram;S20;1;1;2;39
Ziram;S20;1;1;3;39
Ziram;S8;1;1;1;27
Ziram;S8;1;1;2;28
Ziram;S8;1;1;3;26
Ziram;S23;1;0,5;1;40
Ziram;S23;1;0,5;2;43
Ziram;S23;1;0,5;3;44
Ziram;S20;1;0,5;1;43
Ziram;S20;1;0,5;2;40
Ziram;S20;1;0,5;3;42
Ziram;S8;1;0,5;1;37
Ziram;S8;1;0,5;2;35
Ziram;S8;1;0,5;3;35
Ziram;S23;1;0,1;1;54
Ziram;S23;1;0,1;2;53
Ziram;S23;1;0,1;3;53
Ziram;S20;1;0,1;1;49
Ziram;S20;1;0,1;2;51
Ziram;S20;1;0,1;3;51,5
Ziram;S8;1;0,1;1;41
Ziram;S8;1;0,1;2;40
Ziram;S8;1;0,1;3;45
Ziram;S23;2;0;1;52,9
Ziram;S23;2;0;2;55,2
Ziram;S23;2;0;3;55,7
Ziram;S20;2;0;1;51,8
Ziram;S20;2;0;2;52,9
Ziram;S20;2;0;3;52
Ziram;S8;2;0;1;49,9
Ziram;S8;2;0;2;50,2
Ziram;S8;2;0;3;51,7
Ziram;S23;2;100;1;14,8
Ziram;S23;2;100;2;14,9
Ziram;S23;2;100;3;14
Ziram;S20;2;100;1;14,9
Ziram;S20;2;100;2;14
Ziram;S20;2;100;3;13
Ziram;S8;2;100;1;14,8
Ziram;S8;2;100;2;16,9
Ziram;S8;2;100;3;15
Ziram;S23;2;50;1;19,9
Ziram;S23;2;50;2;21,2
Ziram;S23;2;50;3;19,7
Ziram;S20;2;50;1;20,3
Ziram;S20;2;50;2;20,9
Ziram;S20;2;50;3;19,5
Ziram;S8;2;50;1;18,9
Ziram;S8;2;50;2;19,2
Ziram;S8;2;50;3;18,7
Ziram;S23;2;10;1;20,3
Ziram;S23;2;10;2;20,9
Ziram;S23;2;10;3;23
Ziram;S20;2;10;1;20
Ziram;S20;2;10;2;20
Ziram;S20;2;10;3;21
Ziram;S8;2;10;1;18,8
Ziram;S8;2;10;2;19,9
Ziram;S8;2;10;3;21,5
Ziram;S23;2;1;1;37,9
Ziram;S23;2;1;2;37,2
Ziram;S23;2;1;3;36,7
Ziram;S20;2;1;1;37,8
Ziram;S20;2;1;2;38
Ziram;S20;2;1;3;40,5
Ziram;S8;2;1;1;24,9
Ziram;S8;2;1;2;26,2
Ziram;S8;2;1;3;25,7
Ziram;S23;2;0,5;1;39,8
Ziram;S23;2;0,5;2;42,9
Ziram;S23;2;0,5;3;44
Ziram;S20;2;0,5;1;41
Ziram;S20;2;0,5;2;42
Ziram;S20;2;0,5;3;44
Ziram;S8;2;0,5;1;36,8
Ziram;S8;2;0,5;2;34,9
Ziram;S8;2;0,5;3;35
Ziram;S23;2;0,1;1;53,9
Ziram;S23;2;0,1;2;53,2
Ziram;S23;2;0,1;3;52,7
Ziram;S20;2;0,1;1;48,8
Ziram;S20;2;0,1;2;50,9
Ziram;S20;2;0,1;3;51,5
Ziram;S8;2;0,1;1;40,9
Ziram;S8;2;0,1;2;40,2
Ziram;S8;2;0,1;3;44,7
Ziram;S23;3;0;1;53
Ziram;S20;3;0;1;50
Ziram;S8;3;0;1;43
Ziram;S23;3;0,1;1;54
Ziram;S20;3;0,1;1;49
Ziram;S8;3;0,1;1;41
Ziram;S23;3;0,5;1;40
Ziram;S20;3;0,5;1;44
Ziram;S8;3;0,5;1;37
Ziram;S23;3;1;1;38
Ziram;S20;3;1;1;38
Ziram;S8;3;1;1;25
Ziram;S23;3;10;1;20,5
Ziram;S20;3;10;1;23
Ziram;S8;3;10;1;19
Ziram;S23;3;50;1;19
Ziram;S20;3;50;1;20,5
Ziram;S8;3;50;1;19
Ziram;S23;3;100;1;15
Ziram;S20;3;100;1;15
Ziram;S8;3;100;1;15
Ziram;S23;3;0;2;55
Ziram;S20;3;0;2;49
Ziram;S8;3;0;2;44
Ziram;S23;3;0,1;2;53
Ziram;S20;3;0,1;2;51
Ziram;S8;3;0,1;2;40
Ziram;S23;3;0,5;2;43
Ziram;S20;3;0,5;2;45
Ziram;S8;3;0,5;2;38
Ziram;S23;3;1;2;37
Ziram;S20;3;1;2;38
Ziram;S8;3;1;2;33
Ziram;S23;3;10;2;21
Ziram;S20;3;10;2;22
Ziram;S8;3;10;2;20
Ziram;S23;3;50;2;21
Ziram;S20;3;50;2;21
Ziram;S8;3;50;2;19
Ziram;S23;3;100;2;15
Ziram;S20;3;100;2;15
Ziram;S8;3;100;2;17
Ziram;S23;3;0;3;56
Ziram;S20;3;0;3;48
Ziram;S8;3;0;3;45
Ziram;S23;3;0,1;3;53
Ziram;S20;3;0,1;3;51,5
Ziram;S8;3;0,1;3;45
Ziram;S23;3;0,5;3;44
Ziram;S20;3;0,5;3;45
Ziram;S8;3;0,5;3;35
Ziram;S23;3;1;3;37
Ziram;S20;3;1;3;38
Ziram;S8;3;1;3;26
Ziram;S23;3;10;3;23
Ziram;S20;3;10;3;22
Ziram;S8;3;10;3;21,5
Ziram;S23;3;50;3;20
Ziram;S20;3;50;3;20,5
Ziram;S8;3;50;3;19
Ziram;S23;3;100;3;14
Ziram;S20;3;100;3;15,5
Ziram;S8;3;100;3;15
Timorex;S23;1;0;1;53
Timorex;S23;1;0;2;55
Timorex;S23;1;0;3;56
Timorex;S20;1;0;1;52
Timorex;S20;1;0;2;53
Timorex;S20;1;0;3;52
Timorex;S8;1;0;1;50
Timorex;S8;1;0;2;50
Timorex;S8;1;0;3;52
Timorex;S23;1;1000;1;9
Timorex;S23;1;1000;2;9
Timorex;S23;1;1000;3;9,5
Timorex;S20;1;1000;1;8
Timorex;S20;1;1000;2;8
Timorex;S20;1;1000;3;8
Timorex;S8;1;1000;1;6
Timorex;S8;1;1000;2;6
Timorex;S8;1;1000;3;6
Timorex;S23;1;500;1;29
Timorex;S23;1;500;2;28,5
Timorex;S23;1;500;3;28
Timorex;S20;1;500;1;23
Timorex;S20;1;500;2;22
Timorex;S20;1;500;3;22
Timorex;S8;1;500;1;24
Timorex;S8;1;500;2;24
Timorex;S8;1;500;3;25
Timorex;S23;1;100;1;33
Timorex;S23;1;100;2;34
Timorex;S23;1;100;3;36
Timorex;S20;1;100;1;30
Timorex;S20;1;100;2;29,5
Timorex;S20;1;100;3;28
Timorex;S8;1;100;1;32
Timorex;S8;1;100;2;28
Timorex;S8;1;100;3;29
Timorex;S23;1;10;1;38,5
Timorex;S23;1;10;2;39,5
Timorex;S23;1;10;3;39,5
Timorex;S20;1;10;1;35
Timorex;S20;1;10;2;35
Timorex;S20;1;10;3;36
Timorex;S8;1;10;1;35
Timorex;S8;1;10;2;34
Timorex;S8;1;10;3;33
Timorex;S23;1;1;1;42
Timorex;S23;1;1;2;43
Timorex;S23;1;1;3;42
Timorex;S20;1;1;1;38
Timorex;S20;1;1;2;37
Timorex;S20;1;1;3;36
Timorex;S8;1;1;1;36
Timorex;S8;1;1;2;35
Timorex;S8;1;1;3;35
Timorex;S23;1;0,1;1;52
Timorex;S23;1;0,1;2;53
Timorex;S23;1;0,1;3;53
Timorex;S20;1;0,1;1;44
Timorex;S20;1;0,1;2;46
Timorex;S20;1;0,1;3;45
Timorex;S8;1;0,1;1;44
Timorex;S8;1;0,1;2;47
Timorex;S8;1;0,1;3;46
Timorex;S23;2;0;1;52,9
Timorex;S23;2;0;2;55,2
Timorex;S23;2;0;3;55,7
Timorex;S20;2;0;1;51,8
Timorex;S20;2;0;2;52,9
Timorex;S20;2;0;3;52
Timorex;S8;2;0;1;49,9
Timorex;S8;2;0;2;50,2
Timorex;S8;2;0;3;51,7
Timorex;S23;2;1000;1;8,8
Timorex;S23;2;1000;2;8,9
Timorex;S23;2;1000;3;9,5
Timorex;S20;2;1000;1;7,9
Timorex;S20;2;1000;2;8,2
Timorex;S20;2;1000;3;7,7
Timorex;S8;2;1000;1;5,8
Timorex;S8;2;1000;2;5,9
Timorex;S8;2;1000;3;6
Timorex;S23;2;500;1;28,9
Timorex;S23;2;500;2;28,7
Timorex;S23;2;500;3;27,7
Timorex;S20;2;500;1;22,8
Timorex;S20;2;500;2;21,9
Timorex;S20;2;500;3;22
Timorex;S8;2;500;1;23,9
Timorex;S8;2;500;2;24,2
Timorex;S8;2;500;3;24,7
Timorex;S23;2;100;1;32,8
Timorex;S23;2;100;2;33,9
Timorex;S23;2;100;3;36
Timorex;S20;2;100;1;29,9
Timorex;S20;2;100;2;29,7
Timorex;S20;2;100;3;27,7
Timorex;S8;2;100;1;31,8
Timorex;S8;2;100;2;27,9
Timorex;S8;2;100;3;29
Timorex;S23;2;10;1;38,4
Timorex;S23;2;10;2;39,7
Timorex;S23;2;10;3;39,2
Timorex;S20;2;10;1;34,8
Timorex;S20;2;10;2;34,9
Timorex;S20;2;10;3;36
Timorex;S8;2;10;1;34,9
Timorex;S8;2;10;2;34,2
Timorex;S8;2;10;3;32,7
Timorex;S23;2;1;1;41,8
Timorex;S23;2;1;2;42,9
Timorex;S23;2;1;3;42
Timorex;S20;2;1;1;37,9
Timorex;S20;2;1;2;37,2
Timorex;S20;2;1;3;35,7
Timorex;S8;2;1;1;35,8
Timorex;S8;2;1;2;34,9
Timorex;S8;2;1;3;35
Timorex;S23;2;0,1;1;51,9
Timorex;S23;2;0,1;2;53,2
Timorex;S23;2;0,1;3;52,7
Timorex;S20;2;0,1;1;43,8
Timorex;S20;2;0,1;2;45,9
Timorex;S20;2;0,1;3;45
Timorex;S8;2;0,1;1;43,9
Timorex;S8;2;0,1;2;47,2
Timorex;S8;2;0,1;3;45,7
Timorex;S23;3;0;1;53
Timorex;S20;3;0;1;50
Timorex;S8;3;0;1;43
Timorex;S23;3;0,1;1;52
Timorex;S20;3;0,1;1;44
Timorex;S8;3;0,1;1;44
Timorex;S23;3;1;1;42
Timorex;S20;3;1;1;38
Timorex;S8;3;1;1;36
Timorex;S23;3;10;1;38,5
Timorex;S20;3;10;1;35
Timorex;S8;3;10;1;35
Timorex;S23;3;100;1;33
Timorex;S20;3;100;1;30
Timorex;S8;3;100;1;32
Timorex;S23;3;500;1;29
Timorex;S20;3;500;1;23
Timorex;S8;3;500;1;24
Timorex;S23;3;1000;1;9
Timorex;S20;3;1000;1;8
Timorex;S8;3;1000;1;6
Timorex;S23;3;0;2;55
Timorex;S20;3;0;2;49
Timorex;S8;3;0;2;44
Timorex;S23;3;0,1;2;53
Timorex;S20;3;0,1;2;46
Timorex;S8;3;0,1;2;47
Timorex;S23;3;1;2;43
Timorex;S20;3;1;2;37
Timorex;S8;3;1;2;35
Timorex;S23;3;10;2;39,5
Timorex;S20;3;10;2;35
Timorex;S8;3;10;2;34
Timorex;S23;3;100;2;34
Timorex;S20;3;100;2;29,5
Timorex;S8;3;100;2;28
Timorex;S23;3;500;2;28,5
Timorex;S20;3;500;2;22
Timorex;S8;3;500;2;24
Timorex;S23;3;1000;2;9
Timorex;S20;3;1000;2;8
Timorex;S8;3;1000;2;6
Timorex;S23;3;0;3;56
Timorex;S20;3;0;3;48
Timorex;S8;3;0;3;45
Timorex;S23;3;0,1;3;53
Timorex;S20;3;0,1;3;45
Timorex;S8;3;0,1;3;46
Timorex;S23;3;1;3;42
Timorex;S20;3;1;3;36
Timorex;S8;3;1;3;35
Timorex;S23;3;10;3;39,5
Timorex;S20;3;10;3;36
Timorex;S8;3;10;3;33
Timorex;S23;3;100;3;36
Timorex;S20;3;100;3;28
Timorex;S8;3;100;3;29
Timorex;S23;3;500;3;28
Timorex;S20;3;500;3;22
Timorex;S8;3;500;3;25
Timorex;S23;3;1000;3;9,5
Timorex;S20;3;1000;3;8
Timorex;S8;3;1000;3;6
Merpan;S23;1;0;1;53
Merpan;S23;1;0;2;55
Merpan;S23;1;0;3;56
Merpan;S20;1;0;1;52
Merpan;S20;1;0;2;53
Merpan;S20;1;0;3;52
Merpan;S8;1;0;1;50
Merpan;S8;1;0;2;50
Merpan;S8;1;0;3;52
Merpan;S23;1;1000;1;12
Merpan;S23;1;1000;2;12
Merpan;S23;1;1000;3;13
Merpan;S20;1;1000;1;10
Merpan;S20;1;1000;2;12
Merpan;S20;1;1000;3;12
Merpan;S8;1;1000;1;7
Merpan;S8;1;1000;2;7
Merpan;S8;1;1000;3;7
Merpan;S23;1;500;1;19
Merpan;S23;1;500;2;20
Merpan;S23;1;500;3;20
Merpan;S20;1;500;1;17
Merpan;S20;1;500;2;18
Merpan;S20;1;500;3;17
Merpan;S8;1;500;1;12
Merpan;S8;1;500;2;12
Merpan;S8;1;500;3;12
Merpan;S23;1;100;1;26
Merpan;S23;1;100;2;25
Merpan;S23;1;100;3;26
Merpan;S20;1;100;1;24
Merpan;S20;1;100;2;22
Merpan;S20;1;100;3;24
Merpan;S8;1;100;1;19
Merpan;S8;1;100;2;17
Merpan;S8;1;100;3;18
Merpan;S23;1;10;1;30
Merpan;S23;1;10;2;30
Merpan;S23;1;10;3;31
Merpan;S20;1;10;1;25
Merpan;S20;1;10;2;27
Merpan;S20;1;10;3;27
Merpan;S8;1;10;1;31
Merpan;S8;1;10;2;30
Merpan;S8;1;10;3;30
Merpan;S23;1;1;1;40
Merpan;S23;1;1;2;39
Merpan;S23;1;1;3;38,5
Merpan;S20;1;1;1;39
Merpan;S20;1;1;2;38
Merpan;S20;1;1;3;40
Merpan;S8;1;1;1;40
Merpan;S8;1;1;2;40
Merpan;S8;1;1;3;39
Merpan;S23;1;0,1;1;52
Merpan;S23;1;0,1;2;53
Merpan;S23;1;0,1;3;53
Merpan;S20;1;0,1;1;50
Merpan;S20;1;0,1;2;49
Merpan;S20;1;0,1;3;48
Merpan;S8;1;0,1;1;47
Merpan;S8;1;0,1;2;45
Merpan;S8;1;0,1;3;45
Merpan;S23;2;0;1;52,8
Merpan;S23;2;0;2;54,9
Merpan;S23;2;0;3;56
Merpan;S20;2;0;1;51,9
Merpan;S20;2;0;2;53,2
Merpan;S20;2;0;3;51,7
Merpan;S8;2;0;1;49,8
Merpan;S8;2;0;2;52
Merpan;S8;2;0;3;52
Merpan;S23;2;1000;1;14
Merpan;S23;2;1000;2;13
Merpan;S23;2;1000;3;15
Merpan;S20;2;1000;1;11
Merpan;S20;2;1000;2;12,2
Merpan;S20;2;1000;3;11,7
Merpan;S8;2;1000;1;6,8
Merpan;S8;2;1000;2;6,9
Merpan;S8;2;1000;3;7
Merpan;S23;2;500;1;20,4
Merpan;S23;2;500;2;19
Merpan;S23;2;500;3;20
Merpan;S20;2;500;1;16,8
Merpan;S20;2;500;2;17,9
Merpan;S20;2;500;3;18
Merpan;S8;2;500;1;11,9
Merpan;S8;2;500;2;12,2
Merpan;S8;2;500;3;11,7
Merpan;S23;2;100;1;25,8
Merpan;S23;2;100;2;24,9
Merpan;S23;2;100;3;26
Merpan;S20;2;100;1;23,9
Merpan;S20;2;100;2;22,2
Merpan;S20;2;100;3;23,7
Merpan;S8;2;100;1;15,8
Merpan;S8;2;100;2;16,9
Merpan;S8;2;100;3;16
Merpan;S23;2;10;1;31,9
Merpan;S23;2;10;2;33
Merpan;S23;2;10;3;33,7
Merpan;S20;2;10;1;25,8
Merpan;S20;2;10;2;26,9
Merpan;S20;2;10;3;27
Merpan;S8;2;10;1;30,9
Merpan;S8;2;10;2;30,2
Merpan;S8;2;10;3;29,7
Merpan;S23;2;1;1;39,8
Merpan;S23;2;1;2;38,9
Merpan;S23;2;1;3;38,5
Merpan;S20;2;1;1;38,9
Merpan;S20;2;1;2;38,2
Merpan;S20;2;1;3;39,7
Merpan;S8;2;1;1;39,8
Merpan;S8;2;1;2;39,9
Merpan;S8;2;1;3;39
Merpan;S23;2;0,1;1;52,9
Merpan;S23;2;0,1;2;54,2
Merpan;S23;2;0,1;3;52,7
Merpan;S20;2;0,1;1;49,8
Merpan;S20;2;0,1;2;50,9
Merpan;S20;2;0,1;3;48
Merpan;S8;2;0,1;1;42,9
Merpan;S8;2;0,1;2;44,2
Merpan;S8;2;0,1;3;44,7
Merpan;S23;3;0;1;51
Merpan;S20;3;0;1;50
Merpan;S8;3;0;1;43
Merpan;S23;3;0,1;1;53
Merpan;S20;3;0,1;1;52
Merpan;S8;3;0,1;1;52
Merpan;S23;3;1;1;40
Merpan;S20;3;1;1;39
Merpan;S8;3;1;1;40
Merpan;S23;3;10;1;30
Merpan;S20;3;10;1;26
Merpan;S8;3;10;1;31
Merpan;S23;3;100;1;25
Merpan;S20;3;100;1;24
Merpan;S8;3;100;1;17
Merpan;S23;3;500;1;19
Merpan;S20;3;500;1;17
Merpan;S8;3;500;1;12
Merpan;S23;3;1000;1;13
Merpan;S20;3;1000;1;10
Merpan;S8;3;1000;1;8
Merpan;S23;3;0;2;52
Merpan;S20;3;0;2;49
Merpan;S8;3;0;2;44
Merpan;S23;3;0,1;2;54
Merpan;S20;3;0,1;2;53
Merpan;S8;3;0,1;2;50
Merpan;S23;3;1;2;39
Merpan;S20;3;1;2;38
Merpan;S8;3;1;2;40
Merpan;S23;3;10;2;29
Merpan;S20;3;10;2;27
Merpan;S8;3;10;2;30
Merpan;S23;3;100;2;23
Merpan;S20;3;100;2;22
Merpan;S8;3;100;2;17
Merpan;S23;3;500;2;20
Merpan;S20;3;500;2;18
Merpan;S8;3;500;2;12
Merpan;S23;3;1000;2;14
Merpan;S20;3;1000;2;12
Merpan;S8;3;1000;2;7
Merpan;S23;3;0;3;56
Merpan;S20;3;0;3;48
Merpan;S8;3;0;3;45
Merpan;S23;3;0,1;3;53
Merpan;S20;3;0,1;3;52
Merpan;S8;3;0,1;3;50
Merpan;S23;3;1;3;38,5
Merpan;S20;3;1;3;40
Merpan;S8;3;1;3;39
Merpan;S23;3;10;3;29
Merpan;S20;3;10;3;27
Merpan;S8;3;10;3;30
Merpan;S23;3;100;3;25
Merpan;S20;3;100;3;24
Merpan;S8;3;100;3;18
Merpan;S23;3;500;3;18
Merpan;S20;3;500;3;17
Merpan;S8;3;500;3;12
Merpan;S23;3;1000;3;13
Merpan;S20;3;1000;3;12
Merpan;S8;3;1000;3;7
